# wavelength(nm) efficiency_Th_absorbed
280.000000 0.000000
290.000000 0.049080
300.000000 0.059157
310.000000 0.094427
320.000000 0.144253
330.000000 0.232895
340.000000 0.312020
350.000000 0.371176
360.000000 0.464297
370.000000 0.534464
380.000000 0.599220
390.000000 0.644194
400.000000 0.678158
410.000000 0.695513
420.000000 0.730783
430.000000 0.751124
440.000000 0.759895
450.000000 0.784714
460.000000 0.788820
470.000000 0.781169
480.000000 0.795165
490.000000 0.803936
500.000000 0.813826
510.000000 0.827449
520.000000 0.840326
530.000000 0.815693
540.000000 0.830248
550.000000 0.824277
560.000000 0.847230
570.000000 0.833608
580.000000 0.816999
590.000000 0.826889
600.000000 0.805615
610.000000 0.827822
620.000000 0.813640
630.000000 0.804122
640.000000 0.791246
650.000000 0.786767
660.000000 0.792552
670.000000 0.783781
680.000000 0.792552
690.000000 0.780236
700.000000 0.776690
710.000000 0.764560
720.000000 0.774824
730.000000 0.753363
740.000000 0.744032
750.000000 0.745525
760.000000 0.717347
770.000000 0.702417
780.000000 0.693087
790.000000 0.702044
800.000000 0.692713
810.000000 0.660616
820.000000 0.675732
830.000000 0.649792
840.000000 0.643261
850.000000 0.642701
860.000000 0.643447
870.000000 0.652031
880.000000 0.649979
890.000000 0.646246
900.000000 0.669387
910.000000 0.684316
920.000000 0.680210
930.000000 0.687302
940.000000 0.690474
950.000000 0.691221
960.000000 0.703350
970.000000 0.699432
980.000000 0.707829
990.000000 0.721825
1000.000000 0.736381
1010.000000 0.727610
1020.000000 0.733395
1030.000000 0.734702
1040.000000 0.722945
1050.000000 0.722199
1060.000000 0.751684
1070.000000 0.759335
1080.000000 0.748511
1090.000000 0.742913
1100.000000 0.735821
1110.000000 0.761014
1120.000000 0.766613
1130.000000 0.756162
1140.000000 0.765866
1150.000000 0.763440
1160.000000 0.765307
1170.000000 0.747765
1180.000000 0.763067
1190.000000 0.758962
1200.000000 0.761014
1210.000000 0.772585
1220.000000 0.769412
1230.000000 0.762134
1240.000000 0.751310
1250.000000 0.761947
1260.000000 0.777996
1270.000000 0.779489
1280.000000 0.780796
1290.000000 0.780422
1300.000000 0.768666
1310.000000 0.783968
1320.000000 0.781542
1330.000000 0.786207
1340.000000 0.757469
1350.000000 0.788074
1360.000000 0.767359
1370.000000 0.801696
1380.000000 0.776317
1390.000000 0.787140
1400.000000 0.791619
1410.000000 0.802443
1420.000000 0.774824
1430.000000 0.785274
1440.000000 0.799644
1450.000000 0.784155
1460.000000 0.785461
